* idx(tesseract_os2-64_cam-front_os1-128_cam-lrr)=00064_00031_00091_00031_00089, timestamp=1643184735.987141257
*, 0, 0, Sedan, 6.813800000000006, -6.687499999999999, -0.5, 0.5104000000000002, 2.4281, 1.1495999999999997, 1.11
*, 1, 1, Sedan, 17.835000000000036, -3.32, -0.3, 0.10130000000000017, 2.9165000000000005, 1.1233999999999997, 1.2
*, 2, 2, Sedan, 39.16000000000001, 3.3499999999999996, -0.02, -0.7906, 2.7769000000000004, 1.2338999999999993, 1.11
*, 3, 3, Sedan, 68.23750000000007, 2.352500000000001, 0.38, -0.40920000000000023, 2.326799999999999, 1.2118999999999995, 1.07
*, 4, 4, Sedan, 70.60749999999999, -1.3175000000000001, 0.44, 1.7736999999999998, 2.3856999999999995, 1.1722, 1.21
*, 5, 5, Bus or Truck, 53.393799999999665, 23.888800000000007, 1.3, 180.3983, 9.58629999999999, 2.0375999999999994, 2.48
*, 6, 6, Sedan, 5.735000000000002, 3.787499999999999, -0.48, 1.1597999999999997, 2.6902000000000004, 1.3157999999999996, 1.13
*, 7, 7, Sedan, 54.01500000000002, -5.697500000000001, 0.06, 0.2594999999999992, 2.1394, 1.2101000000000002, 1.15
*, 8, 8, Bus or Truck, 16.715000000000042, 25.129999999999995, 0.1, -180.0643, 5.290899999999997, 1.7041999999999984, 2.5
*, 9, 9, Sedan, 14.785000000000004, 9.86, 0.1, 178.3202, 2.2732, 2.0816, 1.05
